"FlightNumber","Airline","Terminal","Gate","ScheduledTime","AircraftType"
"AEE751","Aegean Airlines","2","A22","2025-07-29 11.00","N/A"
"SAS2961","SAS","3","B7","2025-07-29 11.00","N/A"
"NOZ5611","Norwegian","2","A4","2025-07-29 11.05","N/A"
"SAS1777","SAS","3","B9","2025-07-29 11.10","N/A"
"BRX1396","Braathens Regional","3","A11","2025-07-29 11.15","N/A"
"CTN481","Croatia Airlines","2","A17","2025-07-29 11.20","N/A"
"RYR5146","Ryanair","2","F7","2025-07-29 11.30","N/A"
"KLM1270","KLM","2","A14","2025-07-29 11.30","N/A"
"EZY8720","easyJet","2","82","2025-07-29 11.30","N/A"
"AFR1151","Air France","2","A15","2025-07-29 11.35","N/A"
"RYR606","Ryanair","2","F9","2025-07-29 11.40","N/A"
"RYR6707","Ryanair","2","F6","2025-07-29 11.40","N/A"
"SAS1247","SAS","3","B8","2025-07-29 11.45","N/A"
"SAS1420","SAS","3","D1","2025-07-29 11.45","N/A"
"SAS1458","SAS","3","B4","2025-07-29 11.45","N/A"
"SAS2864","SAS","3","D3","2025-07-29 11.45","N/A"
"NOZ3306","Norwegian","2","A4","2025-07-29 11.55","N/A"
"BEL2258","Brussels Airlines","2","A8","2025-07-29 11.55","N/A"
"SIA351","Singapore Airlines","3","C35","2025-07-29 11.55","A359"
"SAS1868","SAS","3","B10","2025-07-29 12.00","N/A"
"SAS2494","SAS","3","B6","2025-07-29 12.10","N/A"
"SAS2513","SAS","3","E104","2025-07-29 12.10","N/A"
"NOZ3514","Norwegian","2","147","2025-07-29 12.15","N/A"
"JTD785","Jettime","2","92","2025-07-29 12.15","N/A"
"RYR81","Ryanair","2","F8","2025-07-29 12.20","N/A"
"DLH827","Lufthansa","2","A17","2025-07-29 12.20","N/A"
"FIN966","Finnair","2","A21","2025-07-29 12.25","N/A"
"FLI453","Atlantic Airways","2","A22","2025-07-29 12.25","N/A"
"SAS909","SAS","3","E129","2025-07-29 12.25","A333"
"NOZ3550","Norwegian","2","A18","2025-07-29 12.30","N/A"
"PGT1707","Pegasus","2","C30","2025-07-29 12.30","N/A"
"SAS1683","SAS","3","B8","2025-07-29 12.35","N/A"
"DTR40","Danish Air","2","B5","2025-07-29 12.40","N/A"
"SAS1466","SAS","3","B15","2025-07-29 12.40","N/A"
"SAS1742","SAS","3","A11","2025-07-29 12.40","N/A"
"SAS2511","SAS","3","B4","2025-07-29 12.40","N/A"
"SAS2613","SAS","3","B7","2025-07-29 12.40","N/A"
"ACA829","Air Canada","3","C29","2025-07-29 12.45","B789"
"NOZ3580","Norwegian","2","A4","2025-07-29 12.45","N/A"
"BCY2880","Cityjet","3","A20","2025-07-29 12.45","N/A"
"BRX2986","Braathens Regional","3","E4","2025-07-29 12.45","N/A"
"DLH2441","Lufthansa","2","A14","2025-07-29 12.50","N/A"
"SAS2866","SAS","3","B19","2025-07-29 12.55","N/A"
"TKJ70","AJet","2","141","2025-07-29 12.55","N/A"
"NOZ3742","Norwegian","2","A6","2025-07-29 13.00","N/A"
"PGT1072","Pegasus","2","78","2025-07-29 13.00","N/A"
"SAS949","SAS","3","1","2025-07-29 13.00","A21N"
"RYR6845","Ryanair","2","F6","2025-07-29 13.10","N/A"
"WZZ2252","Wizz Air","2","F7","2025-07-29 13.10","N/A"
"JTD954","Jettime","2","A21","2025-07-29 13.15","N/A"
"EZY4650","easyJet","2","F7","2025-07-29 13.20","N/A"
"SAS927","SAS","3","E135","2025-07-29 13.25","N/A"
"NOZ3088","Norwegian","2","A8","2025-07-29 13.30","N/A"
"SAS2892","SAS","3","A9","2025-07-29 13.30","N/A"
"NOZ3502","Norwegian","2","147","2025-07-29 13.40","N/A"
"SAS2117","SAS","3","1","2025-07-29 13.50","N/A"
"WZZ1742","Wizz Air","2","F8","2025-07-29 13.50","N/A"
"NOZ3516","Norwegian","2","147","2025-07-29 13.55","N/A"
"SAS943","SAS","3","C37","2025-07-29 13.55","A333"
"SAS2746","SAS","3","B6","2025-07-29 13.55","N/A"
"AAL745","American Airlines","2","C28","2025-07-29 14.00","N/A"
"ICE205","Icelandair","2","B10","2025-07-29 14.00","N/A"
"SAS1677","SAS","3","D3","2025-07-29 14.00","N/A"
"SAS430","SAS","3","A12","2025-07-29 14.05","N/A"
"SAS759","SAS","3","B4","2025-07-29 14.05","N/A"
"SAS1213","SAS","3","A11","2025-07-29 14.05","N/A"
"SAS1872","SAS","3","D2","2025-07-29 14.05","N/A"
"SAS2868","SAS","3","B15","2025-07-29 14.05","N/A"
"SAS649","SAS","3","E4","2025-07-29 14.10","N/A"
"SAS935","SAS","3","C36","2025-07-29 14.10","N/A"
"SAS931","SAS","3","E124","2025-07-29 14.15","N/A"
"SAS2821","SAS","3","1","2025-07-29 14.15","N/A"
"BAW815","British Airways","2","C35","2025-07-29 14.20","N/A"
"NOZ3228","Norwegian","2","A4","2025-07-29 14.20","N/A"
"SAS915","SAS","3","C34","2025-07-29 14.20","N/A"
"SAS2587","SAS","3","D4","2025-07-29 14.30","N/A"
"NOZ3750","Norwegian","2","A6","2025-07-29 14.35","N/A"
"EZY1540","easyJet","2","F6","2025-07-29 14.35","N/A"
"KLM1272","KLM","2","A18","2025-07-29 14.45","N/A"
"THY1782","Turkish Airlines","2","C32","2025-07-29 14.45","N/A"
"DLH829","Lufthansa","2","A8","2025-07-29 15.00","N/A"
"SAS505","SAS","3","1","2025-07-29 15.00","N/A"
"SWR1261","SWISS","2","A9","2025-07-29 15.05","BCS3"
"SWR1271","SWISS","2","A17","2025-07-29 15.05","N/A"
"BRX1285","Braathens Regional","3","A11","2025-07-29 15.05","N/A"
"SAS2795","SAS","3","A22","2025-07-29 15.05","N/A"
"NOZ3206","Norwegian","2","A14","2025-07-29 15.10","N/A"
"RYR1328","Ryanair","2","F7","2025-07-29 15.15","N/A"
"SAS1983","SAS","3","B19","2025-07-29 15.15","A20N"
"RYR2619","Ryanair","2","82","2025-07-29 15.20","N/A"
"JTD1585","Jettime","3","D2","2025-07-29 15.20","N/A"
"SAS1424","SAS","3","B10","2025-07-29 15.25","N/A"
"SAS1460","SAS","3","B8","2025-07-29 15.25","N/A"
"SAS2813","SAS","3","1","2025-07-29 15.25","A320"
"NOZ941","Norwegian","2","A4","2025-07-29 15.30","N/A"
"SAS1217","SAS","3","B15","2025-07-29 15.30","N/A"
"SAS587","SAS","3","B7","2025-07-29 15.30","A20N"
"DTR46","Danish Air","2","A7","2025-07-29 15.35","N/A"
"SAS1549","SAS","3","A6","2025-07-29 15.35","N/A"
"NOZ3402","Norwegian","2","C33","2025-07-29 15.45","N/A"
"NOZ3582","Norwegian","2","D3","2025-07-29 15.45","N/A"
"HST3674","Heston Airlines","2","A21","2025-07-29 15.50","N/A"
"NOZ3660","Norwegian","2","A8","2025-07-29 15.50","N/A"
"SAS2775","SAS","3","D101","2025-07-29 15.50","A20N"
"PGT1074","Pegasus","2","C36","2025-07-29 15.55","A21N"
"UAE152","Emirates","2","C39","2025-07-29 16.00","A388"
"QTR160","Qatar Airways","2","C29","2025-07-29 16.00","B788"
"RYR1280","Ryanair","2","F8","2025-07-29 16.05","B738"
"SAS2478","SAS","3","B4","2025-07-29 16.05","N/A"
"NOZ3302","Norwegian","2","A18","2025-07-29 16.10","N/A"
"RYR3606","Ryanair","2","F6","2025-07-29 16.15","N/A"
"BAW817","British Airways","2","C27","2025-07-29 16.20","N/A"
"NOZ3086","Norwegian","2","A20","2025-07-29 16.20","N/A"
"SAS2819","SAS","3","D2","2025-07-29 16.20","A20N"
"RYR2677","Ryanair","2","F7","2025-07-29 16.25","B738"
"SAS2777","SAS","3","B6","2025-07-29 16.25","A20N"
"SAS2823","SAS","3","A14","2025-07-29 16.25","A20N"
"NOZ3540","Norwegian","2","A22","2025-07-29 16.30","N/A"
"KLM1274","KLM","2","A17","2025-07-29 16.30","N/A"
"SAS781","SAS","3","B9","2025-07-29 16.35","A319"
"NOZ969","Norwegian","2","A4","2025-07-29 16.40","N/A"
"NOZ971","Norwegian","2","A23","2025-07-29 16.40","N/A"
"SAS1517","SAS","3","D104","2025-07-29 16.40","N/A"
"SAS2835","SAS","3","B15","2025-07-29 16.40","E195"
"ICE209","Icelandair","2","A11","2025-07-29 16.45","B38M"
"JTD2691","Jettime","3","B8","2025-07-29 16.50","N/A"
"FIN956","Finnair","2","A20","2025-07-29 17.00","E190"
"NOZ3230","Norwegian","2","A6","2025-07-29 17.00","N/A"
"RYR2725","Ryanair","2","F8","2025-07-29 17.00","B738"
"RYR2675","Ryanair","2","82","2025-07-29 17.00","N/A"
"MMD108","Air Alsie","2","A7","2025-07-29 17.00","N/A"
"BTI2449","Air Baltic","2","A9","2025-07-29 17.05","N/A"
"SAS2681","SAS","3","A12","2025-07-29 17.05","A20N"
"SAS687","SAS","3","B19","2025-07-29 17.10","A20N"
"RYR6880","Ryanair","2","82","2025-07-29 17.15","B738"
"SAS1408","SAS","3","B10","2025-07-29 17.15","A319"
"NOZ3518","Norwegian","2","C30","2025-07-29 17.25","N/A"
"SAS627","SAS","3","A15","2025-07-29 17.25","N/A"
"SAS925","SAS","3","E135","2025-07-29 17.30","A359"
"BRX1203","Braathens Regional","3","B5","2025-07-29 17.30","N/A"
"SAS1507","SAS","3","D101","2025-07-29 17.30","A20N"
"SAS2872","SAS","3","B6","2025-07-29 17.30","E195"
"NOZ3290","Norwegian","2","C27","2025-07-29 17.35","N/A"
"BAW819","British Airways","2","C36","2025-07-29 17.40","A20N"
"SAS757","SAS","3","E3","2025-07-29 17.40","AT76"
"SAS791","SAS","3","B7","2025-07-29 17.40","A20N"
"BCY1781","Cityjet","3","A21","2025-07-29 17.40","N/A"
"TAP755","TAP Air Portugal","2","A8","2025-07-29 17.40","A21N"
"AUA304","Austrian","2","A18","2025-07-29 17.45","A320"
"SAS2619","SAS","3","B4","2025-07-29 17.45","E195"
"DTR48","Danish Air","2","A7","2025-07-29 17.50","N/A"
"AFR1851","Air France","2","A11","2025-07-29 18.00","N/A"
"SAS609","SAS","3","D3","2025-07-29 18.00","CRJ9"
"BRX651","Braathens Regional","3","E7","2025-07-29 18.00","N/A"
"SAS1874","SAS","3","E6","2025-07-29 18.05","CRJ9"
"SAS2657","SAS","3","B15","2025-07-29 18.05","N/A"
"NOZ3732","Norwegian","2","A6","2025-07-29 18.10","N/A"
"JTD553","Jettime","3","B7","2025-07-29 18.10","N/A"
"SAS1759","SAS","3","B9","2025-07-29 18.10","A20N"
"SAS2537","SAS","3","D102","2025-07-29 18.10","N/A"
"BEL2260","Brussels Airlines","2","A12","2025-07-29 18.10","A319"
"JTD1777","Jettime","2","A25","2025-07-29 18.15","N/A"
"SAS1521","SAS","3","D104","2025-07-29 18.15","CRJ9"
"RYR6852","Ryanair","2","F6","2025-07-29 18.20","B738"
"SAS597","SAS","3","B8","2025-07-29 18.20","N/A"
"SAS1257","SAS","3","E3","2025-07-29 18.20","N/A"
"FLI459","Atlantic Airways","2","A17","2025-07-29 18.35","A320"
"NOZ3646","Norwegian","2","D1","2025-07-29 18.40","N/A"
"RYR1785","Ryanair","2","82","2025-07-29 18.40","N/A"
"NOZ3298","Norwegian","2","D103","2025-07-29 18.55","N/A"
"FLI467","Atlantic Airways","2","A15","2025-07-29 19.00","N/A"
"CCA878","Air China LTD","3","C37","2025-07-29 19.05","N/A"
"KLM1276","KLM","2","A20","2025-07-29 19.05","N/A"
"SAS1470","SAS","3","D4","2025-07-29 19.05","N/A"
"DLH831","Lufthansa","2","A4","2025-07-29 19.10","N/A"
"SAS559","SAS","3","B6","2025-07-29 19.10","N/A"
"SAS1430","SAS","3","B4","2025-07-29 19.15","N/A"
"NOZ3638","Norwegian","2","A6","2025-07-29 19.20","N/A"
"THY1786","Turkish Airlines","2","C32","2025-07-29 19.20","N/A"
"FIN960","Finnair","2","122","2025-07-29 19.25","N/A"
"LOT462","LOT - Polish Airlines","2","A11","2025-07-29 19.25","N/A"
"DLH2443","Lufthansa","2","A12","2025-07-29 19.30","N/A"
"AFR1051","Air France","2","A9","2025-07-29 19.40","N/A"
"NOZ3504","Norwegian","2","D102","2025-07-29 19.40","N/A"
"NOZ3092","Norwegian","2","A8","2025-07-29 19.45","N/A"
"NOZ3564","Norwegian","2","147","2025-07-29 19.50","N/A"
"LDA9888","Lauda Europe","2","82","2025-07-29 19.50","N/A"
"NOZ5513","Norwegian","2","147","2025-07-29 19.55","N/A"
"IBS1824","Iberia Express","2","A22","2025-07-29 20.00","N/A"
"AUA306","Austrian","2","95","2025-07-29 20.00","N/A"
"KRP140","Carpatair","2","96","2025-07-29 20.10","N/A"
"RYR3566","Ryanair","2","82","2025-07-29 20.10","N/A"
"SAS412","SAS","3","31","2025-07-29 20.15","N/A"
"NOZ3234","Norwegian","2","147","2025-07-29 20.30","N/A"
"ITY1978","ITA Airways","2","82","2025-07-29 20.30","N/A"
"NOZ5077","Norwegian","2","147","2025-07-29 20.35","N/A"
"SAS1501","SAS","3","31","2025-07-29 20.40","N/A"
"NOZ3406","Norwegian","2","C30","2025-07-29 20.50","N/A"
"SAS1472","SAS","3","31","2025-07-29 20.55","N/A"
"WZZ3114","Wizz Air","2","82","2025-07-29 21.00","N/A"
"DLH2445","Lufthansa","2","95","2025-07-29 21.20","N/A"
"EZY5268","easyJet","2","82","2025-07-29 21.20","N/A"
"WZZ4074","Wizz Air","2","82","2025-07-29 21.20","N/A"
"EZY1264","easyJet","2","82","2025-07-29 21.30","N/A"
"LDA2881","Lauda Europe","2","82","2025-07-29 21.35","N/A"
"RYR746","Ryanair","2","82","2025-07-29 21.50","N/A"
"DTR54","Danish Air","2","127","2025-07-29 22.00","N/A"
"NOZ3098","Norwegian","2","147","2025-07-29 22.10","N/A"
"EZY2238","easyJet","2","82","2025-07-29 22.15","N/A"
"SAS2744","SAS","3","A6","2025-07-29 22.55","N/A"
"SAS753","SAS","3","B6","2025-07-29 23.00","N/A"
"SAS1428","SAS","3","A4","2025-07-29 23.00","N/A"
"SAS1474","SAS","3","B9","2025-07-29 23.00","N/A"
"SAS2874","SAS","3","A18","2025-07-29 23.00","N/A"
"SAS2884","SAS","3","A15","2025-07-29 23.00","N/A"
"SAS448","SAS","3","D1","2025-07-29 23.05","N/A"
"BRX1225","Braathens Regional","3","E4","2025-07-29 23.05","N/A"
"BRX1289","Braathens Regional","3","E5","2025-07-29 23.05","N/A"
"SAS1273","SAS","3","E3","2025-07-29 23.05","N/A"
"SAS1876","SAS","3","A21","2025-07-29 23.05","N/A"
